additional_id,comments,non_compliance,source,source_type,entry_date,alternative_source,link,log_type,targeted_pop_group
25,State of emergency in Herat province. ,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1028193360883176?__tn__=-R,Introduction / extension of measures,Yes
26,"Awareness campaign expands to include avoiding kissing, weddings, meetings, funerals, and other social luxuries. ",,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1028193360883176?__tn__=-R,Introduction / extension of measures,No
27,"Those who have traveled to Iran in the last month, especially in the city, if they are having fever, cough and breath, soon visit one of the health centers or Call on 166 so that the health teams can help them.",,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1028193360883176?__tn__=-R,Introduction / extension of measures,Yes
28,Prioritizing disinfecting of health centers and early-response needs. Provide more training for health care workers on how to keep themselves safe. ,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1026689324366913?__tn__=-R,Introduction / extension of measures,Yes
29,"strengthen the screened teams in the air, borders and port, creating a joint committee to review the risk of transmitting coronavirus through iimported items ",,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1025043844531461?__tn__=-R,Introduction / extension of measures,No
30,Monitoring and surveillance increased at nationwide hospitals to improve the quality of health services,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1019580341744478?__tn__=-R,Introduction / extension of measures,No
31,,,Ministry of Health,Government,2020-03-14,,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,Introduction / extension of measures,No
32,Established specific areas for quarantine in Kabul and in the provinces for the control of COVID-19,,Afghanistan MoPH,Government,2020-04-07,http://tinyurl.com/twpqsek ,http://tinyurl.com/rsfhsz9,Introduction / extension of measures,Yes
33,the launch of education programs for doctors to handle COVID-19,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1015946255441220?__tn__=-R,Introduction / extension of measures,Yes
34,"review list of equipment, medical requirements for health facilities and increase of supplies, the list of health staff and services of the Afghan-Japan hospital and the order list of the necessary items. ",,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1014455592256953?__tn__=-R,Introduction / extension of measures,Yes
35,"Print, publishing and sending advertising materials about health services. Publishing messages in hospitals, building video guidance at ports of entry, making a clear part of the passengers's location, creating a clear section on the ministry's website to publish the content related to coronavirus. ",,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1013023885733457?__tn__=-R,Introduction / extension of measures,No
36,"The Ministry of public health has created the special part of the control of the ""Corona"" virus in the Afghan-Japan hospital. This section has a hundred bed filled with all facilities.",,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1013057475730098?__tn__=-R,Introduction / extension of measures,No
37,the ministry has prepared 100 bed to control this virus in Kabul and 200 others in the province hospital with all the facilities needed in the country.,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1011701339199045?__tn__=-R,Introduction / extension of measures,Yes
38,,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1011701339199045?__tn__=-R,Introduction / extension of measures,No
39,All China and Iran nationals,,US Embassy ,Government,2020-03-14,,https://af.usembassy.gov/covid-19-information/,Introduction / extension of measures,Yes
40,Flights to China are suspended. ,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/photos/a.462598094109375/1007117789657400/?type=3&theater,Introduction / extension of measures,Yes
41,Health screenings of all passengers at airports. ,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/photos/a.462598094109375/1007117789657400/?type=3&theater,Introduction / extension of measures,No
42,Health teams at airports will check passengers coming from China. ,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1006458563056656?__tn__=-R ,Introduction / extension of measures,Yes
43,MoPH begins announcements on their facebook to make public aware of coronavirus. ,,Afghanistan MoPH,Government,2020-04-07,,https://www.facebook.com/af.moph/posts/1005130256522820?__tn__=-R,Introduction / extension of measures,No
44,"More than 600 business activities have restarted including farming, repair shops, mining, fishing, food and fish processing as well as other retailers.",Not applicable,International SOS,Other organisations,2020-04-24,https://www.nytimes.com/reuters/2020/04/18/world/europe/18reuters-health-coronavirus-albania.html,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Phase-out measure,No
45,"Modified (from original 16 hour curfew on 23/3/2020). Individuals are now only allowed to leave their homes on weekdays from 05.00 to 17.30 to visit grocery stores, pharmacies and banks. All movement is prohibited outside of those windows, including both vehicular traffic and pedestrian movement. *Exceptions are made for healthcare workers and for the transport of food items, supplies and medicine",Up to detention,International SOS,Other organisations,2020-04-15,https://balkaninsight.com/2020/04/10/rights-organizations-protests-albanias-anti-covid-proposals/,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,No
46,"Modified (from original 16hour curfew on 23/3/2020) A full curfew is enforced on the weekends from 17.30 on Fridays to 05.00 on Mondays. *Exceptions are made for healthcare workers and for the transport of food items, supplies and medicine",Up to detention,International SOS,Other organisations,2020-04-15,https://balkaninsight.com/2020/04/10/rights-organizations-protests-albanias-anti-covid-proposals/,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,No
47,"All restricitive measures (curfew, public service close, limit gatherings etc.) are now indefiitnely suspended until further notice",Not applicable,Intenational SOS,Other organisations,2020-04-03,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,No
48,authorities decreed that all restrictive measures are to remain in place until further notice.,Not available,International SOS,Other organisations,2020-04-15,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,No
49,"only one person per household is allowed to go out to buy food or medicine at a time, for a maximum of 90 minutes; the ‘exit permit’ can be obtained by sending an SMS to 55155.",Fines,International SOS,Other organisations,2020-04-15,https://al.usembassy.gov/updates_covid19/,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,No
50,"temporary monthly financial treatment of some officials and employees of the state administration, during the period of the epidemic situation caused by COVID-19",Not applicable,"Albanian Government  ""legal acts""",Government,2020-04-15,,https://coronavirus.al/akte-ligjore/,Introduction / extension of measures,Yes
51,"the local tax system is amended: Exceptionally, the provisions of article 15 of this law, the payments of the prepaid installments of the simplified profit tax are performed at the second level banks and the Albanian Post, sh.a., on behalf of the tax administration, for the first quarter and second of 2020 by October 20, 2020, while for the third and fourth quarters of 2020 by December 20, 2020.",Not available,"Albanian Government  ""legal acts""",Government,2020-04-15,,https://coronavirus.al/akte-ligjore/,Introduction / extension of measures,No
52,"ANTICOVID-19 fund will provide details and guidelines for use: 1. The antiCovid-19 fund, of 2,500 million ALL, is used by the Ministry of Health and Social Protection, according to the following details: a) In the amount of ALL 500 million, in the program “Secondary care services”, in the category of current expenses. b) In the amount of ALL 150 million, in the program “Public health services”, in the category of current expenditures. c) In the amount of 50 million ALL, in the program “National Emergency Service”, in the category of current expenses. ç) In the amount of ALL 800 million, in the program “Planning, management and administration”, in the category of current expenditures. d) In the amount of 1 000 million ALL, in the program ""Planning, management and administration"", in the category of capital expenditures. 2. The Ministry of Health and Social Protection and the Ministry of Finance and Economy are in charge of the implementation of this decision.",Not applicable,"Albanian Government  ""legal acts""",Government,2020-04-15,,https://coronavirus.al/akte-ligjore/,Introduction / extension of measures,Yes
53,"financial assistance is provided before employment in business entities with an annual income of up to 14 million ALL, economic assistance is paid in three incomes from employment during the period of three natural disasters. as a result of COVID-19",Not applicable,"Albanian Government  ""legal acts""",Government,2020-04-15,,https://coronavirus.al/akte-ligjore/,Introduction / extension of measures,Yes
54,"income tax amended: a) The accounting balance sheet, together with its annexes, as well as any other data specified in the instruction of the Minister responsible for finance, pursuant to this law, shall be submitted within 31 July 2020 b) For taxpayers with turnover up to 14,000,000 (fourteen million) ALL, the tax calculated on the basis of the annual taxable income declaration, reduced by the amounts determined under Article 37 of this Law, and by the prepayments made during tax period, paid by the taxpayer to the account of the tax authorities, within the second half of 2020. c) For taxpayers with turnover up to 14,000,000 (fourteen million) ALL, the profit and loss taxes of the first and second quarter of 2020, are prepaid in the account of the tax authorities, within 31 December 2020. Preliminary tax installments on the profit, of the third and fourth quarter of 2020, are prepaid in the account of the tax authorities, within 31 December 2020.",Not available,"Albanian Government  ""legal acts""",Government,2020-04-15,,https://coronavirus.al/akte-ligjore/,Introduction / extension of measures,No
55,Free 600 Prisoners as Pandemic Precaution sent home on a special permit for about three months. target: convicted of lesser crimes and some who are elderly and suffering from chronic diseases that can make them vulnerable. released prisoners are being ordered to stay at home and will be prosecuted if they do not return to prison at the end of the pandemic. ,Up to detention,BalkanInsight,Media,2020-04-15,,https://balkaninsight.com/2020/03/24/albania-to-free-600-prisoners-as-pandemic-precaution/,Introduction / extension of measures,Yes
56,All flights to and from Tirana airport will be suspended ** except Air Albania’s flights to and from Istanbul for humanitarian reasons.,,International SOS,Other organisations,2020-03-24,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,Yes
57,No ferries to and from Italy until april 3,,International SOS,Other organisations,2020-03-24,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,Yes
58,"16-hour curfew. Individuals are only allowed to leave their homes from 05:00 to 13:00. All movement is prohibited outside of those windows, including both vehicular traffic and pedestrian movement. Exceptions are made for healthcare workers and for the transport of food items, supplies and medicine. Grocery stores and banks are only permitted to open from 05:00 to 13:00.",Not available,Intenational SOS,Other organisations,2020-04-03,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,No
59,"Private car traffic and interurban transport will be banned across eight cities: Durres, Elbasan, Fier, Lezha, Lushnje, Shkodra, Tirana and Vlor between 13 March 06.00 and 16 March 00.00. Roads connecting Tirana and Durres to other parts of the country will also be closed during this timeframe and public transportation closed between/within the two cities.",Not available,Intenational SOS,Other organisations,2020-04-03,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,Yes
60,"Albania’s penitentiary system has banned any visits to prisoners from family members. the deputy director of penitentiary institutions, said prisons had installed about 64 computers to allow prisoners to speak to their family members in video calls.",Not available,BalkanInsight,Media,2020-04-15,,https://balkaninsight.com/2020/03/24/albania-to-free-600-prisoners-as-pandemic-precaution/,Introduction / extension of measures,No
61,"emergency law ""normative act"" that can be approved by the government with immediate effect without the need for the prior approval of parliament which automatically executable fines for issues of non-complience. Decision No.243 of the Council of Ministers on the declaration of natural disaster situation  pursuant to Articles 100, 170, 174, para.1, and 175, para.2, of the Constitution. This provides the same terms and is regulated through the same constitutional provisions which govern “the state of emergency”. ",Fines,BalkaninSight,Media,2020-03-24,https://acaps.sharepoint.com/:w:/r/sites/covid-19response/_layouts/15/Doc.aspx?sourcedoc=%7B4BD7DA89-4077-44C8-B6C3-75F03E1E90C8%7D&file=20200331%20Global-%20States%20of%20emergency.docx&action=default&mobileredirect=true,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,Introduction / extension of measures,Yes
62,"1. Social, cultural or political gatherings, either in enclosed or open-air spaces, are banned and fined: 5 million lek (40,000 euros). 2. Television stations are banned from having more than two people on their talk shows in the same room and will be fined 1 million leks (8,300 euros) for any violations. 3. fines and three-year bans for car drivers if they breach restrictions on movement.",Fines,BalkaninSight,Media,2020-03-24,,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,Introduction / extension of measures,Yes
63,"Traders in food and medicines for unacceptable price rises and up to 10 million leks (83,000 euros) fines, if do not respect safety rules designed to combat infections",Fines,BalkaninSight,Media,2020-03-24,,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,Introduction / extension of measures,Yes
64,"Private hospitals that refuse to offer their capacities when required can be fined by up to 5 million leks (40,000 euros).",Fines,BalkaninSight,Media,2020-03-24,,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,Introduction / extension of measures,Yes
65,"The highest fines, up to 10 million leks (83,000 euros), can be imposed on entities that trade in food or medicine without respecting safety rules designed to combat infections.",Fines,BalkaninSight,Media,2020-03-24,,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,Introduction / extension of measures,Yes
66,"additional funds in the 2020 budget, approved for the Ministry of Health and Social Protection, to take measures to meet the preliminary needs for the spread of infection caused by COVID-2019",Not available,"Albanian Government  ""legal acts""",Government,2020-04-15,,https://coronavirus.al/akte-ligjore/,Introduction / extension of measures,Yes
67,Create safe sanitary areas for non COVID-19 patients to be treated and Emergency/surgical interventions transferred to the University Trauma Hospital ,,"Albania Ministry of Health ""MSHMS""",Government,2020-03-20,,https://shendetesia.gov.al/31380-2/,Introduction / extension of measures,No
68,All suspected cases at Mother Teresa International Airport and the seaports of Vlore and Durres are evaluated onsite.,,US embassy of Albania ,Government,2020-03-20,,https://al.usembassy.gov/updates_covid19/,Introduction / extension of measures,No
69,Train additional 3000 nurses and doctors to respond to COVID-19 and increased the number of medical personnel at all ports of entries,,"Albania Ministry of Health ""MSHMS""",Government,2020-03-20,https://al.usembassy.gov/updates_covid19/,https://shendetesia.gov.al/31380-2/,Introduction / extension of measures,No
70,"VKM no. 236: provide housing assistance to the needy, in the context of the epidemic caused by COVID-19. ie. monthly payments, food and medicine",Not available,"Albanian Government  ""legal acts""",Government,2020-04-15,,https://coronavirus.al/akte-ligjore/,Introduction / extension of measures,Yes
71,vehicle movement restrictions,Not applicable,US Embassy ,Government,2020-03-14,,https://al.usembassy.gov/updates_covid19/,Introduction / extension of measures,No
72,"Land borders: Montenegro (March 16, 2020), Kosovo (March 14, 2020) ""except citizens of Kosovo and Albania"" and Macedonia (March 16, 2020)// ALL Borders: Greece (10p.m March 15, 2020)""except commercial trade""",,US Embassy of Albania ,Government,2020-03-20,,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,Introduction / extension of measures,Yes
73,"Private car traffic and interurban transport will be banned across eight cities: Durres, Elbasan, Fier, Lezha, Lushnje, Shkodra, Tirana and Vlor. Roads connecting Tirana and Durres to other parts of the country are closed and public transportation is closed between/within the two cities. Vehicles will only be permitted if individuals obtain an authorisation from traffic police; only essential workers will be allowed to do so and drive only from 05.00 until 08.00 and from 16.00 until 17.30.",Fines,International SOS,Other organisations,2020-04-24,https://al.usembassy.gov/updates_covid19/,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,Yes
74,Stopped loan payments for 3 months (until 31.5.2020 as officially ordered on 17.3.2020) for all albanians ,Not applicable,BalkanInSight,Media,2020-03-14,https://www.bankofalbania.org/Press/Press_Releases/Decisions_by_the_Supervisory_Council_of_the_Bank_of_Albania_on_12_March_2020.html,https://balkaninsight.com/2020/03/12/albania-close-factories-impose-curfew-in-war-against-new-coronavirus/,Introduction / extension of measures,No
75,,Not applicable,US Embassy ,Government,2020-03-14,,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,Introduction / extension of measures,No
76,Decision of the Council of Ministers No. 211: For the commitment of the Armed Forces of the Republic of Albania to ensure the implementation of the massive preventive nodal epidemic caused by COVID - 19,Not available,"Albanian Government  ""legal acts""",Government,2020-04-15,,https://coronavirus.al/akte-ligjore/,Introduction / extension of measures,No
77,"All schools are closed from March 10, 2020 until March 23, 2020",Not applicable,US Embassy ,Government,2020-03-14,,https://al.usembassy.gov/updates_covid19/,Introduction / extension of measures,No
78,Until 3rd April,Not applicable,US Embassy ,Government,2020-03-14,,https://al.usembassy.gov/updates_covid19/,Introduction / extension of measures,No
79,People who have traveled to WHO high-risk regions for COVID-19 in the past 14 days,Not applicable,US Embassy ,Government,2020-03-14,,https://al.usembassy.gov/updates_covid19/,Introduction / extension of measures,Yes
80,All people entering the country for 15 days,Not applicable,US Embassy ,Government,2020-03-14,,https://al.usembassy.gov/updates_covid19/,Introduction / extension of measures,Yes
81,"The granting of the monthly reward, in the amount of 125,000 (one hundred and twenty five thousand) ALL, for the medical staff, public health specialists dealing with epidemiology, nurses and laboratory service specialists, engaged in the diagnosis and medical treatment of affected persons from COVID-19 infection. The granting of the monthly reward, in the amount of 65,000 (sixty-five thousand), ALL, for the support staff, engaged in the institutions where the persons affected by the infection caused by COVID-19 are treated.",Not available,"Albanian Government  ""legal acts""",Government,2020-04-15,,https://coronavirus.al/akte-ligjore/,Introduction / extension of measures,Yes
82,"Decision of the High Judicial Council no. 127: 1) Suspension of activity and judicial services in all courts of the country, of general and special jurisdiction due to the situation caused by COVID19. 2) The activities and judicial services related to the case are excluded from the effects of this suspension.",Not available,"Albanian Government  ""legal acts""",Government,2020-04-15,,https://coronavirus.al/akte-ligjore/,Introduction / extension of measures,No
83,Italy until 3rd April,Not applicable,Tirana Times 09/03/3030,Media,2020-03-14,,https://www.tiranatimes.com/?p=144490,Introduction / extension of measures,Yes
84,"Algerian authorities announce easing lockdown and restrictive measures in particular areas as from April 24. full lockdown which has been in place in Blida province since Monday, March 30, will be lifted and replaced with a nighttime curfew. The curfew will be observed from 14:00 to 07:00 (local time). Further, the nighttime curfew currently in place in the nine provinces of Algiers, Oran, Béjaïa, Sétif,  Tizi Ouzou, Tipaza, Tlemcen, Aïn Defla, and Médéa, has been shortened to run from 17:00 to 07:00. Reports indicate that the curfew observed in the other provinces of the country between 19:00 to 07:00 will remain place without change.",Not available,GardaWorld,Media,2020-04-24,,https://www.garda.com/crisis24/news-alerts/335791/algeria-authorities-ease-covid-19-restrictions-for-ramadan-april-24-update-12,Phase-out measure,Yes
85,"Algerian authorities announced that nationwide curfew and lockdown measures, which were originally set to end on Sunday, April 19, will be extended through Wednesday, April 29",Not available,GardaWorld,Media,2020-04-24,,https://www.garda.com/crisis24/news-alerts/333901/algeria-government-extends-lockdown-through-april-29-update-11,Introduction / extension of measures,No
86,all wilayas have implemented a partial lockdown until at least 19 April.,Not available,International SOS,Other organisations,2020-04-15,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,No
87,all wilayas have implemented a curfew from 19.00 to 07.00 (local time) until at least 19 April.,Not available,International SOS,Other organisations,2020-04-15,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,No
88,"Ain Defla, Bejaia, Medea, Oran, Setif, Tipaza, Tizi Ouzou and Tlemcen provinces: Curfew has been extended from 15.00 to 07.00 until at least 19 April.",Not available,International SOS,Other organisations,2020-04-15,https://www.garda.com/crisis24/news-alerts/329476/algeria-curfew-extended-for-nine-provinces-april-5-update-10,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,Yes
89,suspension extended until until at least 19. April ,Not available,International SOS,Other organisations,2020-04-15,https://www.garda.com/crisis24/news-alerts/328496/algeria-ongoing-restrictions-extended-through-april-19-update-9,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,No
90,Extension on internal travel restrictions announced on 1 April will last from 22 March until 19 April,Not applicable,International SOS,Other organisations,2020-04-03,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,No
91,"Suspension of domestic flights, rail links and other types of public transport. All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centres.",Not applicable,International SOS,Other organisations,2020-04-03,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,No
92,Blida extended until at least 19. april 2020,Not available,International SOS,Other organisations,2020-04-15,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,Yes
93,"Extension on internal travel restrictions announced on 1 April will last from 22 March until 19 April, and will cover the suspension of domestic flights, rail links and other types of public transport. All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centres.",Not available,International SOS,Other organisations,2020-04-15,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,No
94,extended: non-essentials remain closed until further notice ,Not available,International SOS,Other organisations,2020-04-15,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,No
95,Extended: All public gatherings in Algeria suspended until further notice (including religious prayers and protests).,Not available,International SOS,Other organisations,2020-04-15,,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,Yes
96,"expanded to include provences: Algiers, Batna, Tizi Ouzou, Setif, Tipaza, Constantine, Medea Oran, El Oued, Boumerdes, Bejaia, Ain Defla, Mostaganem and Bordj Bou Arreridj from 7 pm to 7 am.",Not available,International SOS,Other organisations,2020-04-03,https://dz.usembassy.gov/covid-19-information/,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,Introduction / extension of measures,Yes
97,Bilda (complete confinement - all movement in and out is prohibited) and Algiers ,,Gardaworld,Other organisations,2020-03-24,,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,Introduction / extension of measures,Yes
98,Bilda and Algiers from 7 pm to 7 am.,,Gardaworld,Other organisations,2020-03-24,,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,Introduction / extension of measures,Yes
